frame,emotion,confidence
1584,neutral,0.40949428
1590,neutral,0.4139606
1596,neutral,0.3145631
1602,neutral,0.26304406
1608,neutral,0.29166523
1614,neutral,0.39043376
1620,happy,0.29429367
1626,neutral,0.2888067
1632,sad,0.268882
1638,neutral,0.23363699
1644,happy,0.3491287
1650,happy,0.40399498
1656,happy,0.3505862
1662,happy,0.36704224
1668,neutral,0.29606134
1674,neutral,0.37170428
1680,surprise,0.32053232
1686,surprise,0.41418615
1692,surprise,0.5561696
1698,surprise,0.36216915
1704,surprise,0.3641418
1710,neutral,0.34662077
1716,neutral,0.3831208
1722,neutral,0.35073847
1728,neutral,0.43739408
1734,neutral,0.4889213
1740,neutral,0.48273912
1746,neutral,0.37551114
1752,neutral,0.43966973
1758,neutral,0.39126137
1764,happy,0.527373
1770,happy,0.5438799
1776,happy,0.5101002
1782,neutral,0.463289
1788,neutral,0.42744064
1794,angry,0.2858627
1800,sad,0.36048603
1806,sad,0.40000212
1812,sad,0.3816174
1818,sad,0.36661193
1824,sad,0.37922242
1830,neutral,0.2164968
1836,neutral,0.25663522
1842,neutral,0.30768844
1848,angry,0.35795987
1854,neutral,0.34364343
1860,neutral,0.50798965
1866,neutral,0.28300217
1872,sad,0.3722726
1878,neutral,0.37259373
1884,neutral,0.5796217
1890,neutral,0.3920766
1896,neutral,0.56862783
1902,neutral,0.47740573
1908,neutral,0.5109888
1914,neutral,0.6260951
1920,neutral,0.69454694
1926,neutral,0.72606796
1932,neutral,0.69071674
1938,neutral,0.59618855
1944,neutral,0.48687416
1950,neutral,0.33424956
1956,neutral,0.50057423
1962,neutral,0.25986248
1968,angry,0.27768826
1974,neutral,0.26390406
1980,neutral,0.23872143
1986,happy,0.32891142
1992,happy,0.5273061
1998,happy,0.66044354
2004,happy,0.46433267
2010,surprise,0.46360213
2016,neutral,0.28934556
2022,happy,0.36598036
2028,neutral,0.43282208
2034,neutral,0.5174021
2040,neutral,0.5297747
2046,neutral,0.5172498
2052,neutral,0.41674647
2058,neutral,0.5415565
2064,neutral,0.59659374
2070,neutral,0.36253804
2076,neutral,0.31968337
2082,happy,0.37165892
2088,neutral,0.51635087
2094,neutral,0.49650624
2100,happy,0.51383984
2106,neutral,0.64570826
2112,neutral,0.48191386
2118,neutral,0.4990278
2124,neutral,0.4772758
2130,neutral,0.41168633
2136,neutral,0.58982664
2142,neutral,0.66183573
2148,neutral,0.6072147
2154,neutral,0.6172519
2160,neutral,0.6199248
2166,neutral,0.5167184
2172,neutral,0.7663496
2178,neutral,0.61510015
2184,neutral,0.6214353
2190,neutral,0.5820606
2196,neutral,0.5698214
2202,neutral,0.69123
2208,neutral,0.6167055
2214,neutral,0.52959573
2220,neutral,0.47380108
2226,neutral,0.549391
2232,neutral,0.5323334
2238,neutral,0.59094363
2244,neutral,0.58443016
2250,neutral,0.5967818
2256,neutral,0.48979253
2262,neutral,0.6829305
2268,neutral,0.63316506
2274,neutral,0.66859984
2280,neutral,0.76677823
2286,neutral,0.5822871
2292,neutral,0.448545
2298,neutral,0.40705132
2304,fear,0.30285475
2310,neutral,0.44470653
2316,neutral,0.40139642
2322,neutral,0.32938382
2328,neutral,0.36303478
2334,neutral,0.28075144
2340,neutral,0.31118548
2346,neutral,0.25046957
2352,neutral,0.2723751
2358,neutral,0.23632592
2364,neutral,0.2464907
2370,neutral,0.283662
2376,neutral,0.23678626
2382,angry,0.26198244
2388,angry,0.26617405
2394,angry,0.28390533
2400,angry,0.29700086
2406,angry,0.25313008
2412,angry,0.2665343
2418,angry,0.23564522
2424,surprise,0.4642491
2430,surprise,0.31999147
2436,surprise,0.43292278
2442,fear,0.426727
2448,neutral,0.62040275
2454,neutral,0.6904959
2460,neutral,0.63410646
2466,neutral,0.73111635
2472,neutral,0.6429004
2478,neutral,0.6181933
2484,happy,0.47263274
2490,neutral,0.4393557
2496,fear,0.4232995
2502,fear,0.4164088
2508,sad,0.39612177
2514,sad,0.36534074
2520,sad,0.34736735
2526,sad,0.35216287
2532,sad,0.34478238
2538,neutral,0.58215606
2544,neutral,0.7113182
2550,neutral,0.57784396
2556,neutral,0.5703767
2562,neutral,0.5515821
2568,neutral,0.5489483
2574,neutral,0.5156647
2580,neutral,0.5396418
2586,neutral,0.5594018
2592,neutral,0.52978134
2598,neutral,0.48322353
2604,neutral,0.5601572
2610,neutral,0.54360753
2616,neutral,0.44857916
2622,neutral,0.52547306
2628,neutral,0.5759399
2634,neutral,0.4239677
2640,neutral,0.41661438
2646,neutral,0.43639064
2652,neutral,0.2867951
2658,neutral,0.36676577
2664,neutral,0.28319585
2670,neutral,0.3873477
2676,neutral,0.5278581
2682,neutral,0.5573299
2688,neutral,0.4283237
2694,neutral,0.44465563
2700,neutral,0.40819874
2706,neutral,0.5174909
2712,neutral,0.34143513
2718,sad,0.3137717
2724,sad,0.337389
2730,neutral,0.3157158
2736,neutral,0.49132207
2742,neutral,0.52354515
2748,neutral,0.5962017
2754,sad,0.3803824
2760,fear,0.39681548
2766,fear,0.49011797
2772,sad,0.32777363
2778,fear,0.47413173
2784,fear,0.38725922
2790,neutral,0.37272483
2796,neutral,0.54734415
2802,neutral,0.5295654
2808,neutral,0.62376577
2814,neutral,0.53375894
2820,neutral,0.5462675
2826,neutral,0.5929023
2832,neutral,0.61768824
2838,neutral,0.48474023
2844,neutral,0.65741456
2850,neutral,0.74748904
2856,neutral,0.7275583
2862,neutral,0.76201516
2868,neutral,0.7655522
2874,neutral,0.72921336
2880,neutral,0.59974253
2886,neutral,0.5242421
2892,neutral,0.36313793
2898,neutral,0.29836679
2904,neutral,0.24903868
2910,happy,0.25289136
2916,neutral,0.267597
2922,surprise,0.20861185
2928,happy,0.29364714
2934,neutral,0.37859198
2940,neutral,0.40860307
2946,neutral,0.27551398
2952,sad,0.3758245
2958,sad,0.4326037
2964,sad,0.45581046
2970,sad,0.40097257
2976,sad,0.36356363
2982,neutral,0.43242124
2988,sad,0.5120559
2994,sad,0.46264148
3000,happy,0.48812202
3006,sad,0.39947206
3012,sad,0.4621247
3018,sad,0.5485166
3024,sad,0.46832502
3030,neutral,0.42452314
3036,neutral,0.44563678
3042,sad,0.50011814
3048,sad,0.4088851
3054,neutral,0.4040131
3060,neutral,0.4021024
3066,neutral,0.22939779
3072,surprise,0.28463185
3078,angry,0.3863404
3084,happy,0.5287148
3090,angry,0.48075834
3096,neutral,0.30574322
3102,neutral,0.45753342
3108,neutral,0.37396428
3114,neutral,0.3120118
3120,neutral,0.40431216
3126,neutral,0.2763542
3132,neutral,0.46111724
3138,neutral,0.34909573
3144,neutral,0.35420245
3150,neutral,0.66861063
3156,neutral,0.6037446
3162,happy,0.49927416
3168,happy,0.43346035
3174,happy,0.418071
3180,neutral,0.4068748
3186,neutral,0.4260564
3192,sad,0.39093345
3198,sad,0.33607855
3204,neutral,0.4139466
3210,neutral,0.49245012
3216,neutral,0.28652498
3222,neutral,0.33585507
3228,neutral,0.4542647
3234,neutral,0.34266257
3240,neutral,0.49985215
3246,neutral,0.4308098
3252,neutral,0.36990702
3258,neutral,0.39156616
3264,neutral,0.51488626
3270,neutral,0.43553266
3276,neutral,0.67959744
3282,neutral,0.4444425
3288,neutral,0.51302165
3294,neutral,0.5627068
3300,neutral,0.49951196
3306,neutral,0.6709232
3312,neutral,0.6183737
3318,neutral,0.5476226
3324,fear,0.40849552
3330,fear,0.38020948
3336,neutral,0.30323803
3342,neutral,0.7356848
3348,neutral,0.4974188
3354,fear,0.420016
3360,neutral,0.464349
3366,neutral,0.5212442
3372,fear,0.35749942
3378,fear,0.40386403
3384,fear,0.3946858
3390,neutral,0.39819545
3396,neutral,0.49836606
3402,neutral,0.4240151
3408,fear,0.461417
3414,neutral,0.5153043
3420,neutral,0.5273759
3426,fear,0.47946256
3432,neutral,0.36780575
3438,neutral,0.33724552
3444,fear,0.40756622
3450,fear,0.463348
3456,neutral,0.4108259
3462,fear,0.49482524
3468,neutral,0.5582179
3474,neutral,0.4413036
3480,neutral,0.33891228
3486,neutral,0.34784973
3492,fear,0.33457437
3498,neutral,0.649318
3504,neutral,0.56165695
3510,neutral,0.5380456
3516,neutral,0.84930885
3522,neutral,0.5533415
3528,neutral,0.579449
3534,neutral,0.6885114
3540,neutral,0.7456892
3546,neutral,0.6653733
3552,neutral,0.64438766
3558,neutral,0.47288638
3564,neutral,0.4074412
3570,neutral,0.5788349
3576,neutral,0.61265665
3582,fear,0.304185
3588,fear,0.42711776
3594,neutral,0.5959505
3600,neutral,0.5953809
3606,neutral,0.38559803
3612,sad,0.32806018
3618,neutral,0.2653242
3624,sad,0.26674968
3630,sad,0.30812645
3636,sad,0.28075334
3642,neutral,0.33746952
3648,sad,0.33802164
3654,sad,0.33399305
3660,sad,0.3188822
3666,neutral,0.363505
3672,neutral,0.6693147
3678,neutral,0.7141653
3684,neutral,0.70037824
3690,neutral,0.58149177
3696,neutral,0.656069
3702,neutral,0.48893836
3708,neutral,0.5358214
3714,neutral,0.52821815
3720,fear,0.27739704
3726,fear,0.31450358
3732,neutral,0.4685453
3738,neutral,0.62232774
3744,neutral,0.63140553
3750,neutral,0.5929712
3756,neutral,0.5470879
3762,fear,0.3678712
3768,neutral,0.5012897
3774,neutral,0.62934434
3780,neutral,0.65541357
3786,neutral,0.44724196
3792,neutral,0.56530195
3798,neutral,0.6093226
3804,neutral,0.60904574
3810,neutral,0.6015699
3816,neutral,0.6166021
3822,neutral,0.47946596
3828,neutral,0.5258317
3834,neutral,0.44175702
3840,neutral,0.74783707
3846,neutral,0.5159191
3852,neutral,0.5204271
3858,neutral,0.56944484
3864,surprise,0.4949734
3870,surprise,0.28007576
3876,fear,0.33493325
3882,neutral,0.42572665
3888,neutral,0.5589315
3894,neutral,0.31297782
3900,neutral,0.35562783
