frame,emotion,confidence
0,neutral,0.64955664
6,neutral,0.6897694
12,neutral,0.8448687
18,neutral,0.63171446
24,neutral,0.5944373
30,neutral,0.5397775
36,neutral,0.60102826
42,neutral,0.8299922
48,neutral,0.69921845
54,neutral,0.6606035
60,neutral,0.7136363
66,neutral,0.61702764
72,neutral,0.5698601
78,neutral,0.602508
84,neutral,0.5469273
90,neutral,0.8113148
96,neutral,0.8859013
102,neutral,0.7755922
108,neutral,0.6808224
114,neutral,0.84963065
120,neutral,0.8324962
126,neutral,0.71742254
132,neutral,0.63450605
138,neutral,0.83780175
144,neutral,0.53599954
150,neutral,0.54530466
156,neutral,0.5571842
162,neutral,0.52149457
168,neutral,0.45473567
174,neutral,0.50575185
180,neutral,0.58855945
186,neutral,0.7073356
192,neutral,0.4711825
198,neutral,0.6231039
204,neutral,0.5986405
210,neutral,0.6379496
216,neutral,0.70618683
222,happy,0.9978823
228,happy,0.9983941
234,happy,0.99982005
240,surprise,0.23793584
246,surprise,0.24837244
252,happy,0.22658928
258,happy,0.5104686
264,sad,0.31845874
270,neutral,0.36489305
276,neutral,0.49770123
282,neutral,0.6482773
288,neutral,0.3594882
294,neutral,0.57106173
300,neutral,0.54603195
306,neutral,0.77227
312,neutral,0.756554
318,neutral,0.5535735
324,neutral,0.6958865
330,neutral,0.37469497
336,neutral,0.55135816
342,neutral,0.5246845
348,neutral,0.4918613
354,neutral,0.6374794
360,neutral,0.5813227
366,neutral,0.6147459
372,neutral,0.46329775
378,neutral,0.6305338
384,neutral,0.66078216
390,neutral,0.6676765
396,neutral,0.5403033
402,neutral,0.697992
408,neutral,0.48810336
414,neutral,0.65948474
420,neutral,0.6591799
426,neutral,0.5820339
432,neutral,0.48289886
438,neutral,0.35366642
444,neutral,0.2883281
450,neutral,0.3299821
456,neutral,0.23152333
462,angry,0.21668583
468,neutral,0.29285207
474,neutral,0.31539407
480,neutral,0.28916994
486,neutral,0.3281186
492,neutral,0.38901642
498,neutral,0.2641936
504,neutral,0.23874485
510,neutral,0.35628018
516,neutral,0.36991116
522,angry,0.2589673
528,angry,0.23177306
534,fear,0.24993642
540,neutral,0.20719445
546,angry,0.23401791
552,neutral,0.47856376
558,neutral,0.5502981
564,neutral,0.7176792
570,neutral,0.41529366
576,neutral,0.5091784
582,neutral,0.5218248
588,angry,0.34834087
594,neutral,0.4089441
600,neutral,0.263207
606,neutral,0.5377717
612,neutral,0.56584054
618,neutral,0.56079173
624,neutral,0.6134673
630,neutral,0.5759306
636,neutral,0.5280309
642,neutral,0.6158883
648,neutral,0.45660806
654,neutral,0.49840862
660,neutral,0.4527157
666,neutral,0.30999324
672,fear,0.32338518
678,fear,0.36928204
684,angry,0.24521784
690,neutral,0.41635796
696,neutral,0.40348408
702,neutral,0.66134286
708,neutral,0.808657
714,neutral,0.8712366
720,neutral,0.6901634
726,neutral,0.5647688
732,neutral,0.6240506
738,neutral,0.5594427
744,neutral,0.656961
750,neutral,0.59714866
756,neutral,0.47573328
762,neutral,0.42487526
768,neutral,0.49937385
774,neutral,0.51184744
780,neutral,0.38448778
786,neutral,0.65561706
792,neutral,0.5170954
798,neutral,0.5754477
804,neutral,0.53054786
810,neutral,0.7317643
816,neutral,0.69265795
822,neutral,0.49910384
828,neutral,0.91994464
834,neutral,0.6592154
840,neutral,0.7575583
846,neutral,0.7148724
852,neutral,0.5682847
858,neutral,0.7191498
864,neutral,0.54033804
870,neutral,0.7814218
876,neutral,0.56278574
882,neutral,0.381429
888,neutral,0.5334883
894,neutral,0.6308383
900,neutral,0.4800968
906,neutral,0.70386076
912,neutral,0.7997843
918,neutral,0.7131668
924,neutral,0.71881175
930,neutral,0.79540366
936,neutral,0.6601435
942,neutral,0.63409495
948,neutral,0.6978
954,neutral,0.7175442
960,neutral,0.6640561
966,neutral,0.52787024
972,neutral,0.5121881
978,neutral,0.5899243
984,neutral,0.5581321
990,neutral,0.5892479
996,neutral,0.6399636
1002,neutral,0.6215365
1008,neutral,0.6221174
1014,neutral,0.68173873
1020,neutral,0.74692196
1026,neutral,0.69344234
1032,neutral,0.66061664
1038,neutral,0.71121776
1044,neutral,0.687125
1050,angry,0.4087126
1056,angry,0.4388453
1062,neutral,0.5364712
1068,neutral,0.73776746
1074,neutral,0.62328905
1080,neutral,0.4985732
1086,angry,0.44160354
1092,neutral,0.5025674
1098,neutral,0.56819105
1104,neutral,0.72143936
1110,neutral,0.6216354
1116,neutral,0.6181005
1122,neutral,0.6464621
1128,neutral,0.7452084
1134,neutral,0.6057096
1140,neutral,0.46755475
1146,neutral,0.5602198
1152,neutral,0.6367727
