frame,emotion,confidence
0,neutral,0.63101155
6,neutral,0.63161147
12,neutral,0.6733697
18,neutral,0.5878153
24,neutral,0.5945094
30,neutral,0.5865618
36,neutral,0.61368
42,neutral,0.638799
48,neutral,0.6752524
54,neutral,0.6244182
60,neutral,0.7282771
66,neutral,0.5353393
72,neutral,0.5242497
78,neutral,0.49279207
84,neutral,0.4669517
90,neutral,0.4876521
96,neutral,0.5307881
102,neutral,0.4952593
108,neutral,0.4910427
114,neutral,0.51348644
120,neutral,0.6023536
126,neutral,0.6525377
132,neutral,0.68696386
138,neutral,0.64148545
144,neutral,0.6549494
150,neutral,0.59017897
156,neutral,0.58342147
162,neutral,0.64332694
168,neutral,0.6234029
174,neutral,0.5580476
180,neutral,0.53274775
186,neutral,0.57710445
192,neutral,0.5841685
198,neutral,0.59539163
204,neutral,0.6084097
210,neutral,0.6112787
216,neutral,0.6291776
222,neutral,0.5840389
228,neutral,0.5728864
234,neutral,0.6244779
240,neutral,0.5970222
246,neutral,0.58759856
252,neutral,0.54872996
258,neutral,0.6076634
264,neutral,0.6064607
270,neutral,0.62491775
276,neutral,0.61658525
282,neutral,0.6043181
288,neutral,0.62246907
294,neutral,0.6592143
300,neutral,0.65030605
306,neutral,0.6226184
312,neutral,0.5798574
318,neutral,0.5620639
324,neutral,0.5798705
330,neutral,0.6222882
336,neutral,0.608607
342,neutral,0.59748805
348,neutral,0.5545118
354,neutral,0.5916781
360,neutral,0.6178546
366,neutral,0.60207963
372,neutral,0.60515493
378,neutral,0.62844086
384,neutral,0.6030938
390,neutral,0.61340374
396,neutral,0.5862436
402,neutral,0.61302006
408,neutral,0.6357245
414,neutral,0.56741434
420,neutral,0.5955963
426,neutral,0.60573137
432,neutral,0.69053954
438,neutral,0.68788344
444,neutral,0.6858563
450,neutral,0.6047741
456,neutral,0.62582195
462,neutral,0.63049173
468,neutral,0.68905145
474,neutral,0.70855933
480,neutral,0.6660828
486,neutral,0.6277273
492,neutral,0.67583287
498,neutral,0.7396896
504,neutral,0.6902124
510,neutral,0.647429
516,neutral,0.6184297
522,neutral,0.63710165
528,neutral,0.549909
534,neutral,0.51086026
540,neutral,0.73445684
546,neutral,0.7093973
552,neutral,0.5498645
558,neutral,0.6131555
564,neutral,0.6817776
570,neutral,0.6346545
576,neutral,0.5712902
582,neutral,0.5949344
588,neutral,0.64663607
594,neutral,0.6160256
600,neutral,0.6548724
606,neutral,0.60126233
612,neutral,0.59653556
618,neutral,0.63350546
624,neutral,0.5982622
630,neutral,0.6336573
636,neutral,0.6925768
642,neutral,0.6148255
648,neutral,0.61239845
654,neutral,0.59313905
660,neutral,0.5838431
666,neutral,0.6019086
672,neutral,0.759179
678,neutral,0.7159564
684,neutral,0.6664137
690,neutral,0.69933116
696,neutral,0.6747327
702,neutral,0.66793984
708,neutral,0.60891515
714,neutral,0.6031746
720,neutral,0.54954445
726,neutral,0.5667237
732,neutral,0.5763435
738,neutral,0.5829656
744,neutral,0.53931606
750,neutral,0.61726975
756,neutral,0.6961325
762,neutral,0.72136325
768,neutral,0.70577437
774,neutral,0.7709291
780,neutral,0.7272844
786,neutral,0.6843066
792,neutral,0.71464413
798,neutral,0.721647
804,neutral,0.6333524
810,neutral,0.5714073
816,neutral,0.60931927
