,frame,emotion,confidence
0,0,Neutral,0.5758979
1,6,Neutral,0.83763516
2,12,Neutral,0.9358861
3,18,Neutral,0.88876796
4,24,Neutral,0.9248802
5,30,Neutral,0.93434894
6,36,Neutral,0.9257098
7,42,Neutral,0.9172736
8,48,Neutral,0.91516566
9,54,Neutral,0.8868285
10,60,Neutral,0.891635
11,66,Neutral,0.86240345
12,72,Neutral,0.8585282
13,78,Neutral,0.8758036
14,84,Neutral,0.9292932
15,90,Neutral,0.91614836
16,96,Neutral,0.90082717
17,102,Neutral,0.83482856
18,108,Neutral,0.87356484
19,114,Neutral,0.8743565
20,120,Neutral,0.86895674
21,126,Neutral,0.8822538
22,132,Neutral,0.85823107
23,138,Neutral,0.84246874
24,144,Neutral,0.8082373
25,150,Neutral,0.7982695
26,156,Neutral,0.75565624
27,162,Neutral,0.82115394
28,168,Neutral,0.776436
29,174,Neutral,0.70324624
30,180,Neutral,0.71338433
31,186,Neutral,0.8298202
32,192,Neutral,0.7619999
33,198,Neutral,0.80652285
34,204,Neutral,0.8288126
35,210,Neutral,0.85032517
36,216,Neutral,0.73979104
37,222,Happy,0.9965275
38,228,Happy,0.99543864
39,234,Happy,0.9982888
40,252,Neutral,0.30470595
41,258,Surprise,0.5475033
42,264,Neutral,0.68038934
43,270,Neutral,0.776009
44,276,Neutral,0.8446333
45,282,Neutral,0.8407488
46,288,Neutral,0.80400956
47,294,Neutral,0.7512135
48,300,Neutral,0.89799696
49,306,Neutral,0.90712506
50,312,Neutral,0.9252744
51,318,Neutral,0.8812476
52,324,Neutral,0.86028147
53,330,Neutral,0.6101713
54,336,Neutral,0.76556635
55,342,Neutral,0.68948996
56,348,Neutral,0.62993497
57,354,Neutral,0.8521116
58,360,Neutral,0.7996816
59,366,Neutral,0.8945206
60,372,Neutral,0.6701033
61,378,Neutral,0.8097087
62,384,Neutral,0.8450382
63,390,Neutral,0.8041161
64,396,Neutral,0.8034942
65,402,Neutral,0.85070014
66,408,Neutral,0.83012867
67,414,Neutral,0.80700773
68,420,Neutral,0.77874947
69,426,Neutral,0.77574784
70,432,Neutral,0.6843409
71,438,Neutral,0.6822804
72,444,Neutral,0.6375648
73,450,Neutral,0.67102224
74,456,Neutral,0.7178469
75,462,Neutral,0.6960572
76,468,Neutral,0.7362582
77,474,Neutral,0.7881554
78,480,Neutral,0.8135859
79,486,Neutral,0.7985195
80,492,Neutral,0.7431978
81,498,Neutral,0.62189406
82,504,Neutral,0.76656234
83,510,Neutral,0.676817
84,516,Neutral,0.64581466
85,522,Neutral,0.50147194
86,528,Neutral,0.5839232
87,534,Neutral,0.7006752
88,540,Neutral,0.76454943
89,546,Neutral,0.69850403
90,552,Neutral,0.681554
91,558,Neutral,0.7865054
92,564,Neutral,0.72008026
93,570,Neutral,0.54508746
94,576,Neutral,0.8355134
95,582,Neutral,0.7337752
96,588,Neutral,0.63379794
97,594,Neutral,0.6923075
98,600,Neutral,0.76845026
99,606,Neutral,0.93021005
100,612,Neutral,0.9022134
101,618,Neutral,0.86537045
102,624,Neutral,0.85072654
103,630,Neutral,0.84421796
104,636,Neutral,0.76540506
105,642,Neutral,0.7269956
106,648,Neutral,0.7104652
107,654,Neutral,0.61911225
108,660,Neutral,0.5867148
109,666,Neutral,0.5094571
110,672,Neutral,0.7812872
111,678,Neutral,0.7424311
112,684,Neutral,0.8643962
113,690,Neutral,0.89355713
114,696,Neutral,0.83198124
115,702,Neutral,0.78528225
116,708,Neutral,0.6551344
117,714,Neutral,0.7338813
118,720,Neutral,0.6858502
119,726,Neutral,0.62967616
120,732,Neutral,0.68861634
121,738,Neutral,0.8746564
122,744,Neutral,0.87929106
123,750,Neutral,0.88371956
124,756,Neutral,0.7641098
125,762,Neutral,0.75551224
126,768,Neutral,0.70795876
127,774,Neutral,0.56628823
128,780,Sad,0.51230544
129,786,Neutral,0.60286224
130,792,Neutral,0.59622157
131,798,Neutral,0.77277523
132,804,Neutral,0.7393278
133,810,Neutral,0.7909036
134,816,Neutral,0.887152
135,822,Neutral,0.85713536
136,828,Neutral,0.85743165
137,834,Neutral,0.7927882
138,840,Neutral,0.8527197
139,846,Neutral,0.80063015
140,852,Neutral,0.84558606
141,858,Neutral,0.87064165
142,864,Neutral,0.8546736
143,870,Neutral,0.8989591
144,876,Neutral,0.9045903
145,882,Neutral,0.7310743
146,888,Neutral,0.829547
147,894,Neutral,0.83488697
148,900,Neutral,0.83988166
149,906,Neutral,0.78059745
150,912,Neutral,0.7922759
151,918,Neutral,0.8291477
152,924,Neutral,0.7755331
153,930,Neutral,0.7767794
154,936,Neutral,0.8330301
155,942,Neutral,0.8286394
156,948,Neutral,0.7071251
157,954,Neutral,0.6527956
158,960,Neutral,0.6978377
159,966,Neutral,0.72356576
160,972,Neutral,0.7442625
161,978,Neutral,0.73690057
162,984,Neutral,0.8192916
163,990,Neutral,0.5613423
164,996,Neutral,0.6977944
165,1002,Neutral,0.6395427
166,1008,Neutral,0.6247695
167,1014,Neutral,0.7057227
168,1020,Neutral,0.69222
169,1026,Neutral,0.494337
170,1032,Neutral,0.8548149
171,1038,Neutral,0.4392006
172,1044,Neutral,0.60143465
173,1050,Neutral,0.87288946
174,1056,Neutral,0.6271542
175,1062,Neutral,0.8382507
176,1068,Neutral,0.7772412
177,1074,Neutral,0.5830846
178,1080,Neutral,0.5581909
179,1086,Neutral,0.5268012
180,1092,Neutral,0.57407874
181,1098,Neutral,0.44118014
182,1104,Neutral,0.46121106
183,1110,Fear,0.44328335
184,1116,Neutral,0.42004752
185,1122,Neutral,0.5742609
186,1128,Neutral,0.7225182
187,1134,Neutral,0.6543082
188,1140,Neutral,0.39933836
189,1146,Neutral,0.7335623
190,1152,Neutral,0.71528083
191,1158,Neutral,0.71634835
192,1164,Neutral,0.62624305
193,1170,Neutral,0.54001594
194,1176,Neutral,0.6983496
195,1182,Neutral,0.66934496
196,1188,Neutral,0.8126064
197,1194,Neutral,0.6813622
198,1200,Neutral,0.81772393
199,1206,Neutral,0.79176855
200,1212,Neutral,0.67905587
201,1218,Neutral,0.6951745
202,1224,Neutral,0.67378324
203,1230,Neutral,0.63181436
204,1236,Neutral,0.6864016
205,1242,Neutral,0.6361246
206,1248,Neutral,0.70595753
207,1254,Neutral,0.5824012
208,1260,Neutral,0.6035564
209,1266,Neutral,0.64400005
210,1272,Neutral,0.7601327
211,1278,Neutral,0.8591995
212,1284,Neutral,0.8970929
213,1290,Neutral,0.76704174
214,1296,Neutral,0.805454
215,1302,Neutral,0.8617907
216,1308,Neutral,0.81401724
217,1314,Neutral,0.80832773
218,1320,Neutral,0.8749506
219,1326,Neutral,0.90223086
220,1332,Neutral,0.88500196
221,1338,Neutral,0.7649356
222,1344,Neutral,0.7861605
223,1350,Neutral,0.7088351
224,1356,Neutral,0.7957525
225,1362,Neutral,0.7917062
226,1368,Neutral,0.7810379
227,1374,Neutral,0.76952
228,1380,Neutral,0.7213219
229,1386,Neutral,0.81963384
230,1392,Neutral,0.81000644
231,1398,Neutral,0.76104784
232,1404,Neutral,0.82366955
233,1410,Neutral,0.88593227
234,1416,Neutral,0.80882305
235,1422,Neutral,0.65237975
236,1428,Neutral,0.8593035
237,1434,Neutral,0.7643972
238,1440,Neutral,0.86503154
239,1446,Neutral,0.74645823
240,1452,Neutral,0.8212628
241,1458,Neutral,0.8179448
242,1464,Neutral,0.58451676
243,1470,Neutral,0.540611
244,1476,Neutral,0.49990228
245,1482,Neutral,0.5773012
246,1488,Neutral,0.6872275
247,1494,Neutral,0.7520412
248,1500,Neutral,0.7080606
249,1506,Neutral,0.7593538
250,1512,Neutral,0.7818335
251,1518,Neutral,0.5110002
252,1524,Neutral,0.7217826
253,1530,Neutral,0.7847163
254,1536,Neutral,0.9039052
255,1542,Neutral,0.91733354
256,1548,Neutral,0.89199394
257,1554,Neutral,0.86382866
258,1560,Neutral,0.9047754
259,1566,Neutral,0.9162766
260,1572,Neutral,0.93114096
261,1578,Neutral,0.94208074
262,1584,Neutral,0.92755294
263,1590,Neutral,0.84732133
264,1596,Neutral,0.79124814
265,1602,Neutral,0.6714667
266,1608,Neutral,0.7125009
267,1614,Neutral,0.7683605
268,1620,Neutral,0.7668726
269,1626,Neutral,0.8543878
270,1632,Neutral,0.71491516
271,1638,Neutral,0.63952225
272,1644,Neutral,0.5588803
273,1650,Neutral,0.42480022
274,1656,Neutral,0.58256996
275,1662,Neutral,0.5343152
