frame,emotion,confidence
0,sad,0.28958616
6,happy,0.2696402
12,happy,0.24367337
18,sad,0.23996599
24,happy,0.25056872
30,sad,0.22463496
36,angry,0.21196148
42,sad,0.26443332
48,fear,0.23246486
54,happy,0.25320464
60,happy,0.2750617
66,happy,0.2939078
72,sad,0.23274587
78,happy,0.2228398
84,sad,0.2294942
90,happy,0.26004246
96,happy,0.25915435
102,fear,0.23912156
108,sad,0.261864
114,sad,0.2981261
120,fear,0.2692717
126,happy,0.238215
132,happy,0.2811404
138,sad,0.25979108
144,sad,0.29040366
150,sad,0.34704494
156,sad,0.2603816
162,sad,0.3468168
168,sad,0.313976
174,sad,0.3519906
180,sad,0.30022904
186,sad,0.2752764
192,neutral,0.28699017
198,sad,0.26043573
204,happy,0.38560137
210,fear,0.24845012
216,happy,0.28305858
222,fear,0.28273344
228,happy,0.33795947
234,sad,0.30550933
240,sad,0.29991093
246,sad,0.347229
252,sad,0.2909059
258,sad,0.34823138
264,sad,0.3201241
270,sad,0.3552553
276,sad,0.34746367
282,sad,0.3904333
288,neutral,0.3455738
294,neutral,0.34289187
300,sad,0.3206254
306,sad,0.33131656
312,neutral,0.35350403
318,neutral,0.3594782
324,neutral,0.32530096
330,sad,0.36501747
336,sad,0.30062166
342,sad,0.34087113
348,sad,0.30413046
354,sad,0.3442753
360,sad,0.32402164
366,sad,0.3090544
372,sad,0.3150563
378,neutral,0.31470948
384,neutral,0.3782899
390,sad,0.2551964
396,sad,0.27330908
402,sad,0.32690758
408,angry,0.20909086
414,sad,0.3303855
420,happy,0.21582876
426,sad,0.2544474
432,fear,0.23086286
438,fear,0.3196566
444,sad,0.35233408
450,sad,0.31303322
456,sad,0.24951477
462,sad,0.3223639
468,happy,0.2562818
474,sad,0.2422032
480,happy,0.32193106
486,neutral,0.28601858
492,sad,0.28282914
498,sad,0.30933416
504,fear,0.30823886
510,fear,0.39941952
516,neutral,0.22755428
522,sad,0.2975202
528,sad,0.26120788
534,angry,0.33400452
540,sad,0.26300994
546,happy,0.25187477
552,sad,0.24882299
558,sad,0.33870763
564,sad,0.28429854
570,sad,0.35267797
576,sad,0.30952796
582,sad,0.30848733
588,neutral,0.2796534
594,neutral,0.38764748
600,neutral,0.31982896
606,neutral,0.40407202
612,neutral,0.38818043
618,neutral,0.30453634
624,neutral,0.35627496
630,sad,0.3151751
636,neutral,0.3442488
642,neutral,0.27960858
648,angry,0.28980094
654,fear,0.24000306
660,happy,0.20576856
666,neutral,0.2672509
672,happy,0.26880154
678,happy,0.32461408
684,happy,0.2384382
690,sad,0.23686574
696,sad,0.26469857
702,happy,0.24554946
708,sad,0.2601273
714,happy,0.28787795
720,happy,0.23703206
726,happy,0.23388752
732,happy,0.23029946
738,angry,0.28836003
744,sad,0.29926744
750,neutral,0.3351579
756,sad,0.21571319
762,happy,0.24990526
768,happy,0.3340505
774,happy,0.29348406
780,happy,0.4239707
786,sad,0.24458563
792,happy,0.2785008
798,fear,0.2498373
804,happy,0.30494094
810,fear,0.2563789
816,happy,0.33362147
822,happy,0.21870074
828,neutral,0.30769736
834,happy,0.2384098
840,sad,0.24210547
846,sad,0.20810814
852,neutral,0.29145655
858,neutral,0.22554806
