frame,emotion,confidence
0,happy,0.41360754
6,happy,0.4124509
12,happy,0.40668502
18,happy,0.39599648
24,happy,0.39599648
30,happy,0.39599648
36,happy,0.41199964
42,happy,0.37475058
48,happy,0.34167096
54,happy,0.3404209
60,happy,0.36429417
66,happy,0.36429417
72,happy,0.36429417
78,happy,0.36521426
84,happy,0.36523265
90,neutral,0.29785815
96,neutral,0.28394663
102,happy,0.3732341
108,neutral,0.5242429
114,neutral,0.6174461
120,neutral,0.8445679
126,neutral,0.7022665
132,neutral,0.46704
138,neutral,0.67685425
144,neutral,0.54790515
150,neutral,0.47851974
156,neutral,0.36281198
162,angry,0.2760587
168,angry,0.27392086
174,neutral,0.4223781
180,neutral,0.33217636
186,sad,0.38869822
192,sad,0.42293677
198,neutral,0.40716386
204,neutral,0.4518885
210,neutral,0.6513765
216,neutral,0.40776965
222,neutral,0.6742251
228,neutral,0.77137154
234,neutral,0.50482714
240,neutral,0.3725922
246,neutral,0.35673413
252,neutral,0.42177567
258,happy,0.3084074
264,neutral,0.532932
270,fear,0.3568691
276,fear,0.43036422
282,surprise,0.41211653
288,surprise,0.33440593
294,fear,0.30290952
300,fear,0.34370956
306,fear,0.3690624
312,fear,0.3009154
318,neutral,0.37162068
324,fear,0.28921574
330,neutral,0.48347342
336,neutral,0.2911865
342,fear,0.2561588
348,fear,0.293601
354,fear,0.24691176
360,neutral,0.2728866
366,fear,0.26243576
372,fear,0.34159458
378,neutral,0.31515023
384,neutral,0.3661305
390,neutral,0.37508485
396,neutral,0.3231914
402,neutral,0.38749188
408,neutral,0.4018611
414,neutral,0.5071395
420,neutral,0.59231925
426,neutral,0.46461192
432,neutral,0.5360784
438,fear,0.42899984
444,fear,0.43230295
450,fear,0.388541
456,fear,0.33677903
462,fear,0.34332174
468,fear,0.30164766
474,fear,0.34340894
480,neutral,0.29106
486,neutral,0.48483044
492,neutral,0.5168805
498,neutral,0.4879375
504,neutral,0.31919032
510,neutral,0.3214005
516,fear,0.38451278
522,fear,0.30720446
528,neutral,0.47579888
534,neutral,0.44683048
540,neutral,0.4006262
546,fear,0.27549022
552,neutral,0.28353035
558,neutral,0.2833302
564,fear,0.39398554
570,fear,0.3023172
576,happy,0.40341195
582,neutral,0.5394083
588,neutral,0.7482914
594,neutral,0.3757202
600,neutral,0.29409164
606,angry,0.2339169
612,happy,0.37048537
618,neutral,0.4241367
624,fear,0.40725663
630,angry,0.23683697
636,neutral,0.39105126
642,neutral,0.54704976
648,neutral,0.62455034
654,neutral,0.56534344
660,neutral,0.55241066
666,neutral,0.46492296
672,neutral,0.528949
678,neutral,0.6481887
684,happy,0.5965625
690,happy,0.44830847
696,neutral,0.47108018
702,happy,0.40581074
708,happy,0.46150488
714,neutral,0.5548904
720,neutral,0.8508237
726,neutral,0.4271683
732,neutral,0.6259019
738,neutral,0.6258753
744,fear,0.40682936
750,neutral,0.46870038
756,happy,0.47941884
762,neutral,0.32234797
768,happy,0.38494667
774,happy,0.42437384
780,neutral,0.36803645
786,neutral,0.44779685
792,neutral,0.47397646
798,neutral,0.47768787
804,neutral,0.44652462
810,neutral,0.40487275
816,neutral,0.43714178
822,neutral,0.43753475
828,neutral,0.47203347
834,neutral,0.47213528
840,neutral,0.4745063
846,neutral,0.41247812
852,neutral,0.4379576
858,neutral,0.39298612
864,neutral,0.36488917
870,neutral,0.39765632
876,neutral,0.45209986
882,neutral,0.44726303
888,neutral,0.49575847
894,neutral,0.45168397
900,neutral,0.42880788
906,neutral,0.38600686
912,neutral,0.37553522
918,neutral,0.41813672
924,neutral,0.46860665
930,neutral,0.41258624
936,neutral,0.39948818
942,neutral,0.4178585
948,neutral,0.41120568
954,neutral,0.38653603
960,neutral,0.35368866
966,neutral,0.39286548
972,neutral,0.40792257
978,neutral,0.41338378
984,neutral,0.44656014
990,neutral,0.49151272
996,neutral,0.46653762
1002,neutral,0.4535453
1008,neutral,0.47216064
1014,neutral,0.50752044
1020,neutral,0.4963022
1026,neutral,0.50718534
1032,neutral,0.51230824
1038,neutral,0.5279181
1044,neutral,0.520686
1050,neutral,0.5243656
1056,neutral,0.45949507
1062,neutral,0.4954913
1068,neutral,0.47753778
1074,neutral,0.47882992
1080,neutral,0.5033307
1086,neutral,0.50448895
1092,neutral,0.5325419
1098,neutral,0.4958914
1104,neutral,0.4387809
1110,neutral,0.4458677
1116,neutral,0.47471285
1122,neutral,0.5062548
1128,neutral,0.58921623
1134,neutral,0.6355133
1140,neutral,0.5701706
1146,neutral,0.54906505
1152,neutral,0.56233364
1158,neutral,0.5577779
1164,neutral,0.5397148
1170,neutral,0.54243743
1176,neutral,0.49746448
1182,neutral,0.478247
1188,neutral,0.51030445
1194,neutral,0.50025344
1200,neutral,0.5159342
1206,neutral,0.5069035
1212,neutral,0.484868
1218,neutral,0.49235287
1224,neutral,0.53644943
