frame,emotion,confidence
0,neutral,0.81142277
6,neutral,0.63945395
12,neutral,0.58127177
18,neutral,0.5916058
24,neutral,0.4619383
30,neutral,0.5730646
36,neutral,0.638356
42,neutral,0.62220293
48,neutral,0.68264043
54,neutral,0.80662197
60,neutral,0.5691768
66,neutral,0.67676973
72,neutral,0.63966686
78,neutral,0.5245281
84,neutral,0.5466787
90,neutral,0.6190242
96,neutral,0.5584759
102,neutral,0.5761534
108,neutral,0.5662449
114,neutral,0.59046984
120,neutral,0.5888689
126,neutral,0.57214534
132,neutral,0.58206433
138,neutral,0.62135315
144,neutral,0.60507214
150,neutral,0.68113923
156,neutral,0.6739957
162,neutral,0.69547445
168,neutral,0.66362035
174,neutral,0.6149529
180,neutral,0.59313154
186,neutral,0.6104404
192,neutral,0.5999945
198,neutral,0.6277546
204,neutral,0.6173526
210,neutral,0.60545564
216,neutral,0.63257664
222,neutral,0.66618425
228,neutral,0.6784642
234,neutral,0.6954442
240,neutral,0.688934
246,neutral,0.6770916
252,neutral,0.7051752
258,neutral,0.6815234
264,neutral,0.6300204
270,neutral,0.6300857
276,neutral,0.6790702
282,neutral,0.6803666
288,neutral,0.6830274
294,neutral,0.7151522
300,neutral,0.6998561
306,neutral,0.6414162
312,neutral,0.6602664
318,neutral,0.68255925
324,neutral,0.6194845
330,neutral,0.56802154
336,neutral,0.62045646
342,neutral,0.6005531
348,neutral,0.64467734
354,neutral,0.6475164
360,neutral,0.6848782
366,neutral,0.6812094
372,neutral,0.6469702
378,neutral,0.6922893
384,neutral,0.7034749
390,neutral,0.6945738
396,neutral,0.5275326
402,neutral,0.6446566
408,neutral,0.62140197
414,neutral,0.5980994
420,neutral,0.53228444
426,neutral,0.4646963
432,neutral,0.4694103
438,neutral,0.5565204
444,neutral,0.5879014
450,neutral,0.6126453
456,neutral,0.5564371
462,neutral,0.5665042
468,neutral,0.59602636
474,neutral,0.6288517
480,neutral,0.6202871
486,neutral,0.5983564
492,neutral,0.54697275
498,neutral,0.5272347
504,neutral,0.5683528
510,neutral,0.5853756
516,neutral,0.5421997
522,neutral,0.55638635
528,neutral,0.53002304
534,neutral,0.64150393
540,neutral,0.6960236
546,neutral,0.57270086
552,neutral,0.7363104
558,neutral,0.7045302
564,neutral,0.68210924
570,neutral,0.79917276
576,neutral,0.68323845
582,neutral,0.7151281
588,neutral,0.69809115
594,neutral,0.719763
600,neutral,0.67211497
606,neutral,0.59953576
612,neutral,0.6355987
618,neutral,0.632071
624,neutral,0.63389164
630,neutral,0.63707197
636,neutral,0.65745896
642,neutral,0.6614622
648,neutral,0.6513534
654,neutral,0.6837886
660,neutral,0.70232004
666,neutral,0.52656096
672,neutral,0.65614736
678,neutral,0.6712125
684,neutral,0.6632578
690,neutral,0.6817891
696,neutral,0.72418976
702,neutral,0.73039573
708,neutral,0.7460366
714,neutral,0.7924036
720,neutral,0.8320609
726,neutral,0.8055117
732,neutral,0.7830996
738,neutral,0.7800029
744,neutral,0.77580345
750,neutral,0.766302
756,neutral,0.7332067
762,neutral,0.7538922
768,neutral,0.7824275
774,neutral,0.7304477
780,neutral,0.73555267
786,neutral,0.7623877
792,neutral,0.7535457
798,neutral,0.7221071
804,neutral,0.68655336
810,neutral,0.6679529
816,neutral,0.6900236
822,neutral,0.7116527
828,neutral,0.7083128
834,neutral,0.76976883
840,neutral,0.7721085
846,neutral,0.7897664
852,neutral,0.75868744
858,neutral,0.7643402
864,neutral,0.7409809
870,neutral,0.72740215
876,neutral,0.71459234
882,neutral,0.5978195
888,neutral,0.6678999
894,neutral,0.65504795
900,neutral,0.65273124
906,neutral,0.7527825
912,neutral,0.71712226
918,neutral,0.5936631
924,neutral,0.6666455
930,neutral,0.6349906
936,neutral,0.62380236
942,neutral,0.63848406
948,neutral,0.67471635
954,neutral,0.6676615
960,neutral,0.7377029
966,neutral,0.74187726
972,neutral,0.688609
978,neutral,0.5173049
984,neutral,0.5353683
990,neutral,0.6294877
996,neutral,0.6537887
1002,neutral,0.6555715
1008,neutral,0.6566749
1014,neutral,0.6651388
1020,neutral,0.7125585
1026,neutral,0.6904954
1032,neutral,0.6377895
1038,neutral,0.608953
1044,neutral,0.6376937
1050,neutral,0.65099216
1056,neutral,0.64216125
1062,neutral,0.62898695
1068,neutral,0.6469719
1074,neutral,0.66349316
1080,neutral,0.6774061
1086,neutral,0.6913638
1092,neutral,0.7308215
1098,neutral,0.6975603
1104,neutral,0.69997203
1110,neutral,0.6881255
1116,neutral,0.6967051
1122,neutral,0.70108724
1128,neutral,0.69064605
1134,neutral,0.72131944
1140,neutral,0.7160676
1146,neutral,0.6978321
1152,neutral,0.74718153
1158,neutral,0.65564466
1164,neutral,0.7359692
1170,neutral,0.75541335
1176,neutral,0.77322906
1182,neutral,0.7835974
1188,neutral,0.7565042
1194,neutral,0.7351161
1200,neutral,0.6627182
1206,neutral,0.6162091
1212,neutral,0.68260324
1218,neutral,0.74454284
1224,neutral,0.7210701
1230,neutral,0.5835247
1236,neutral,0.62802327
1242,neutral,0.73598313
1248,neutral,0.75653106
1254,neutral,0.78434306
1260,neutral,0.7623412
1266,neutral,0.7833141
1272,neutral,0.77556777
1278,neutral,0.7390761
1284,neutral,0.7385517
1290,neutral,0.7241638
1296,neutral,0.7672759
1302,neutral,0.6642971
1308,neutral,0.7293766
1314,neutral,0.7799492
1320,neutral,0.7993182
1326,neutral,0.7720831
1332,neutral,0.7747685
1338,neutral,0.7698799
1344,neutral,0.6365025
1350,neutral,0.646015
1356,neutral,0.7082571
1362,neutral,0.7222736
1368,neutral,0.73202807
1374,neutral,0.69883114
1380,neutral,0.64064145
1386,neutral,0.6746813
1392,neutral,0.7628199
1398,neutral,0.77400464
1404,neutral,0.7615744
1410,neutral,0.76112926
1416,neutral,0.7473798
1422,neutral,0.7329336
1428,neutral,0.7421172
1434,neutral,0.74571157
1440,neutral,0.66871524
1446,neutral,0.6648056
1452,neutral,0.699275
1458,neutral,0.7465551
1464,neutral,0.8340256
1470,neutral,0.8210329
1476,neutral,0.6497373
1482,neutral,0.73879665
1488,neutral,0.6122325
1494,neutral,0.7368371
1500,neutral,0.6552507
1506,neutral,0.6126701
1512,neutral,0.48141044
1518,neutral,0.46354514
1524,neutral,0.5623255
1530,neutral,0.7289479
1536,neutral,0.7111453
1542,neutral,0.75555605
1548,neutral,0.60992044
1554,neutral,0.8384844
1560,neutral,0.7651208
1566,neutral,0.73261815
1572,neutral,0.7777363
1578,neutral,0.7325998
1584,neutral,0.6991651
1590,neutral,0.51682496
1596,neutral,0.58196104
1602,neutral,0.64869004
1608,neutral,0.7061232
1614,neutral,0.72242016
1620,neutral,0.71753705
1626,neutral,0.7049764
1632,neutral,0.70622814
1638,neutral,0.75607985
1644,neutral,0.7246124
1650,neutral,0.6411542
1656,neutral,0.6386545
1662,neutral,0.68913925
1668,neutral,0.7271867
1674,neutral,0.7029327
1680,happy,0.5442276
1686,happy,0.6822299
1692,happy,0.6540122
1698,happy,0.926657
1704,happy,0.99910825
1710,happy,0.99741864
1716,happy,0.99813443
1722,happy,0.99268144
1728,happy,0.99427396
1734,happy,0.9983479
1740,happy,0.9976909
1746,happy,0.9985306
1752,happy,0.9986744
1758,happy,0.9913408
1764,happy,0.9838356
1770,happy,0.7624867
1776,neutral,0.47971454
1782,neutral,0.4959451
1788,neutral,0.54342884
1794,neutral,0.6046883
1800,neutral,0.49265718
1806,neutral,0.4662202
1812,neutral,0.57939625
1818,neutral,0.60887885
1824,neutral,0.58376825
1830,neutral,0.6375741
1836,neutral,0.6264119
1842,neutral,0.6043856
1848,neutral,0.55971783
1854,neutral,0.5747421
1860,neutral,0.5570189
1866,neutral,0.60881144
1872,neutral,0.6180799
1878,neutral,0.6284629
1884,neutral,0.7014679
1890,neutral,0.6925399
1896,neutral,0.5860337
1902,neutral,0.5970241
1908,neutral,0.6051084
1914,neutral,0.550789
1920,neutral,0.59372085
1926,neutral,0.5975771
1932,neutral,0.59983957
1938,neutral,0.55164266
1944,neutral,0.55307454
1950,neutral,0.63967705
1956,neutral,0.76717794
1962,neutral,0.66188407
1968,neutral,0.71317863
1974,neutral,0.77224
1980,neutral,0.78637975
1986,neutral,0.7859671
1992,neutral,0.7623054
1998,neutral,0.78918004
2004,neutral,0.795892
2010,neutral,0.7555383
2016,neutral,0.74446654
2022,neutral,0.7185138
2028,neutral,0.743927
2034,neutral,0.7710354
