,frame,emotion,confidence
0,0,Neutral,0.44274673
1,6,Sad,0.4525987
2,12,Neutral,0.5570585
3,18,Neutral,0.57635796
4,24,Neutral,0.546585
5,30,Neutral,0.510527
6,36,Neutral,0.50598663
7,42,Neutral,0.54608977
8,48,Neutral,0.5127521
9,54,Neutral,0.49635047
10,60,Neutral,0.50113034
11,66,Neutral,0.42850515
12,72,Neutral,0.46128666
13,78,Neutral,0.4983834
14,84,Neutral,0.48493844
15,90,Neutral,0.42099565
16,96,Neutral,0.4436194
17,102,Neutral,0.48794
18,108,Neutral,0.48402852
19,114,Neutral,0.47961444
20,120,Neutral,0.48649257
21,126,Neutral,0.5064619
22,132,Neutral,0.5145029
23,138,Neutral,0.5151071
24,144,Neutral,0.45477325
25,150,Neutral,0.5279485
26,156,Neutral,0.49859437
27,162,Neutral,0.5237362
28,168,Neutral,0.53432995
29,174,Neutral,0.53437674
30,180,Neutral,0.5017658
31,186,Neutral,0.51295096
32,192,Neutral,0.5335484
33,198,Neutral,0.4981074
34,204,Neutral,0.5264236
35,210,Neutral,0.46327764
36,216,Neutral,0.46556103
37,222,Neutral,0.4573318
38,228,Neutral,0.4786283
39,234,Neutral,0.47408754
40,240,Neutral,0.5045739
41,246,Neutral,0.46468058
42,252,Neutral,0.48793638
43,258,Neutral,0.47034523
44,264,Neutral,0.43953362
45,270,Neutral,0.43538594
46,276,Neutral,0.472887
47,282,Neutral,0.5011113
48,288,Neutral,0.46218815
49,294,Neutral,0.44150364
50,300,Neutral,0.5053107
51,306,Neutral,0.5201849
52,312,Neutral,0.5358632
53,318,Neutral,0.4698155
54,324,Neutral,0.4356808
55,330,Neutral,0.393191
56,336,Neutral,0.45880955
57,342,Neutral,0.48217285
58,348,Neutral,0.4630055
59,354,Neutral,0.46827912
60,360,Neutral,0.46173275
61,366,Neutral,0.43041673
62,372,Neutral,0.43310264
63,378,Neutral,0.457607
64,384,Neutral,0.46473613
65,390,Neutral,0.43782556
66,396,Sad,0.41829565
67,402,Neutral,0.39527473
68,408,Neutral,0.44711748
69,414,Neutral,0.47275627
70,420,Neutral,0.43556193
71,426,Neutral,0.4177116
72,432,Sad,0.38248444
73,438,Sad,0.40112793
74,444,Neutral,0.4185057
75,450,Neutral,0.47106883
76,456,Sad,0.38809127
77,462,Sad,0.413227
78,468,Neutral,0.42497656
79,474,Neutral,0.42835024
80,480,Neutral,0.4560328
81,486,Neutral,0.41404483
82,492,Sad,0.42957807
83,498,Sad,0.42669111
84,504,Neutral,0.47760156
85,510,Neutral,0.49763298
86,516,Neutral,0.5391278
87,522,Neutral,0.47113913
88,528,Neutral,0.44012955
89,534,Neutral,0.39886552
90,540,Neutral,0.3474187
91,546,Neutral,0.4421605
